imdb_code,title,return_pct,Adult,Talk-Show,News,Sport,Music,War,Biography,History,Musical,Mystery,Romance,Horror,Short,Documentary,Western,Crime,Family,Comedy,Animation,N/A,Thriller,Sci-Fi,Fantasy,Drama,Adventure,Action,Genre_List
tt2302755,Olympus Has Fallen,146.96989714285715,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,"['Action', 'Thriller']"
tt1217613,Battle: Los Angeles,204.94853714285716,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,"['Action', 'Sci-Fi']"
tt1568911,War Horse,124.02218428571429,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,"['Action', 'Adventure', 'Drama']"
tt2177771,The Monuments Men,126.71821142857144,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Comedy', 'Drama', 'History']"
tt4624424,Storks,161.93347285714287,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
tt1496025,Underworld: Awakening,129.11418571428572,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,"['Action', 'Fantasy', 'Horror']"
tt3014284,The Lego Ninjago Movie,75.33885857142856,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,"['Action', 'Adventure', 'Animation']"
tt0829150,Dracula Untold,214.63103285714286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,"['Action', 'Drama', 'Fantasy']"
tt1027718,Wall Street 2: Money Never Sleeps,96.33088428571428,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,['Drama']
tt1578275,The Dilemma,0.7812357142857144,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,"['Comedy', 'Drama']"
tt0486655,Stardust,95.74606428571428,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,"['Adventure', 'Family', 'Fantasy']"
tt1211956,Escape Plan,48.19423571428572,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,"['Action', 'Thriller']"
tt0435705,Next,5.130714285714286,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,"['Action', 'Sci-Fi', 'Thriller']"
tt1323594,Despicable Me,687.6298159420288,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,"['Adventure', 'Animation', 'Comedy']"
